PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,MeanRR,MeanRG,MeanRB,StdDevRR,StdDevRG,StdDevRB,SkewRR,SkewRG,SkewRB,KurtosisRR,KurtosisRG,KurtosisRB,EntropyRR,EntropyRG,EntropyRB,ALLdaub4RR,ALLdaub4RG,ALLdaub4RB
2522.3091,906.9396,631.2845,0.718,755.79,0.9904,453005,0.7965,1.4367,0.8861,0.8333,0.002,0.0014,0.6945,0.9977,114.5721,107.1855,104.649,23.3506,22.0386,27.2754,-0.444,0.3161,0.5768,3.527,3.937,3.622,-58874834944.0,-50882011136,-49825583104,57.2865,53.5929,52.3253
2429.0669,878.1395,455.6671,0.8548,629.06,0.966,321718,0.7103,1.9272,0.6619,0.7164,0.0028,0.0015,0.5132,0.9889,30.3826,42.1928,44.2569,14.8238,16.7724,13.6944,2.7987,3.6971,3.0923,26.1711,26.7367,32.2495,-2664330240.0,-5112987136,-5254019584,15.1911,21.0992,22.13
1047.858,375.3784,269.2061,0.6969,317.528,0.9885,80108,0.74,1.3944,0.9063,0.8459,0.0047,0.0034,0.7155,0.9977,135.7574,132.1248,128.1628,41.1943,36.0866,39.0378,-0.4817,-0.1893,-0.1602,2.1325,1.9894,1.8957,-16038514688.0,-14812362752,-14150983680,67.8821,66.0672,64.0849
2019.839,773.6254,446.5426,0.8166,586.5347,0.9838,274651,0.806,1.7325,0.8322,0.7582,0.0029,0.0017,0.5748,0.9958,126.932,121.2073,107.2874,31.2941,29.9054,29.7242,-0.749,-0.4518,-0.3009,3.0056,2.6238,2.6948,-45486370816.0,-41105539072,-32008726528,63.4597,60.6019,53.6402
1405.913,499.2482,351.661,0.7098,418.437,0.9814,140115,0.757,1.4197,0.8743,0.8381,0.0036,0.0026,0.7025,0.9973,118.0307,116.4183,116.4908,32.6033,29.0659,32.3829,-0.2312,0.0178,-0.0713,2.5851,2.3997,2.2439,-20101292032.0,-19183765504,-19555231744,59.0189,58.2141,58.2492
2498.9399,876.5175,627.7153,0.6979,734.4214,0.9791,432655,0.7322,1.3964,0.8525,0.8379,0.0021,0.0015,0.7021,0.9803,129.8164,120.263,110.7611,29.4981,26.6279,23.0239,-0.3702,-0.0882,-0.173,2.5219,2.2996,2.7618,-74142720000.0,-62460944384,-51706429440,64.9064,60.1322,55.3802
2074.262,732.5558,526.1931,0.6957,611.8282,0.9767,301007,0.7036,1.3922,0.8587,0.8352,0.0025,0.0018,0.6976,0.9711,140.925,134.9584,123.4921,27.5071,21.6182,21.0118,-0.7465,-0.3643,-0.4097,3.6808,3.1801,3.1583,-60624621568.0,-54283911168,-44818870272,70.4634,67.4806,61.748
2529.803,860.1957,573.9624,0.7448,694.6656,0.9661,392289,0.6699,1.4987,0.7442,0.8076,0.0023,0.0015,0.6522,0.9774,122.1705,115.5215,107.3309,28.471,28.1839,24.847,-0.4396,-0.3368,-0.0595,2.5609,2.4946,2.8221,-58212184064.0,-51782160384,-43712638976,61.0863,57.7619,53.6665
2681.0071,909.2697,510.2585,0.8277,678.7808,0.9594,377190,0.6609,1.782,0.6326,0.7465,0.0025,0.0014,0.5573,0.9931,46.9795,57.0954,63.4497,21.9458,19.9152,15.9896,2.7995,2.7677,1.0014,14.5366,14.03,8.4396,-8114013696.0,-11200927744,-13146814464,23.4922,28.5482,31.726
2377.1899,821.8986,628.6398,0.6442,713.539,0.9912,403438,0.731,1.3074,0.8892,0.8682,0.0021,0.0016,0.7537,0.9854,151.6625,144.0704,138.1963,31.8614,25.518,25.8083,-0.8225,-0.8831,-1.0291,3.2715,4.176,4.9372,-97612226560.0,-85841444864,-78659985408,75.8328,72.0369,69.0984
1790.522,640.6564,422.1224,0.7522,517.3307,0.9687,216990,0.7008,1.5177,0.8239,0.8075,0.003,0.002,0.6521,0.9896,87.2392,81.1249,76.8349,28.8609,29.5393,27.0474,0.0907,0.3552,0.6619,2.4083,2.6524,3.4031,-16382613504.0,-14330851328,-12586627072,43.6167,40.5651,38.4208
2036.349,751.853,482.4856,0.7669,600.9464,0.9819,288870,0.7005,1.5583,0.8595,0.7993,0.0027,0.0017,0.6389,0.9955,93.7921,88.4739,77.2713,34.969,31.6055,25.7324,-0.1154,0.1158,0.1958,2.1874,2.0473,2.828,-26821468160.0,-23290361856,-16920019968,46.8981,44.2381,38.6353
2327.835,823.8969,589.002,0.6992,692.0773,0.9747,385937,0.6888,1.3988,0.8724,0.84,0.0022,0.0016,0.7056,0.987,111.2794,104.3901,102.098,35.5092,33.9639,35.2855,0.0359,0.1521,0.1096,2.3523,2.4116,2.4219,-49777164288.0,-43440209920,-42006290432,55.6423,52.1972,51.0525
1386.525,511.1523,343.4671,0.7406,418.3716,0.9922,138558,0.7031,1.4882,0.8986,0.8185,0.0037,0.0025,0.6699,0.997,138.4303,137.6562,118.1714,35.1653,31.9543,30.0176,-0.4705,-0.1506,0.1202,2.4551,1.8629,2.4095,-28144125952.0,-27455727616,-19875577856,69.2153,68.8281,59.0882
2121.5859,836.7213,440.0023,0.8506,604.806,0.9798,293223,0.6605,1.9016,0.8021,0.7228,0.0029,0.0015,0.5225,0.9936,53.7006,60.2079,72.5149,22.9177,22.4951,18.7304,2.7335,2.3445,0.6487,14.7681,10.7013,4.1098,-8333841408.0,-10224510976,-14116061184,26.8506,30.1054,36.2583
2338.8291,837.3405,488.8563,0.8119,634.8906,0.9648,328126,0.5992,1.7129,0.7273,0.7582,0.0026,0.0015,0.5749,0.9847,58.447,60.5379,68.7374,20.7269,23.0234,22.2391,0.621,2.0074,0.3688,4.1845,10.2625,4.0884,-10324089856.0,-11460699136,-14452511744,29.2265,30.2732,34.3724
2355.499,924.204,510.8777,0.8333,685.4873,0.9882,373474,0.6515,1.8091,0.8359,0.7417,0.0025,0.0014,0.5501,0.9952,60.8057,65.7577,78.6002,22.6583,21.5987,22.8785,0.2524,0.951,-0.1509,2.7832,5.9692,2.8681,-13334769664.0,-15339730944,-22153402368,30.4014,32.8779,39.299
2112.8359,761.2759,531.9149,0.7154,632.0686,0.9873,317818,0.8042,1.4312,0.8833,0.8303,0.0024,0.0017,0.6894,0.9866,118.8632,108.8675,99.5359,31.411,31.0022,29.7888,-0.2955,-0.0943,-0.1273,2.5493,2.2818,2.4692,-46223400960.0,-38602596352,-31981877248,59.4347,54.4386,49.7714
2398.884,836.171,590.8513,0.7076,697.4588,0.9677,394812,0.7228,1.4152,0.8343,0.8341,0.0022,0.0015,0.6957,0.9846,136.0555,128.411,114.3941,33.5605,32.1296,30.1077,-0.4362,-0.3183,-0.0065,2.5784,2.3662,2.5465,-74968326144.0,-66156118016,-51703271424,68.0263,64.2061,57.1969
1711.678,663.8049,384.2429,0.8154,504.2567,0.9924,201232,0.7172,1.7276,0.8566,0.7596,0.0033,0.0019,0.5771,0.9969,139.1584,142.896,135.0905,35.9152,33.1582,30.818,-0.7091,-0.7655,-0.7426,2.4812,2.6765,2.7931,-41450606592.0,-43275087872,-38162923520,69.5798,71.4512,67.5481
2243.5029,775.2019,584.65,0.6567,666.8329,0.9857,354324,0.7335,1.3259,0.8719,0.8602,0.0022,0.0017,0.74,0.9811,121.8926,115.0184,110.6417,28.4961,23.9828,24.7343,-0.4816,-0.0338,-0.1209,3.2457,3.0491,2.8808,-53389807616.0,-46350569472,-42883973120,60.9478,57.5106,55.322
1893.702,729.0965,452.9291,0.7836,573.2632,0.9938,259715,0.7531,1.6097,0.9045,0.7863,0.0028,0.0018,0.6182,0.9952,136.8561,127.6367,122.5169,31.6046,31.2156,29.4682,-0.3891,-0.1767,-0.1665,2.6918,2.1543,2.756,-50845093888.0,-43960332288,-40072290304,68.4276,63.8182,61.2592
2424.814,990.7361,458.7359,0.8863,673.0316,0.9835,361727,0.6176,2.1597,0.7604,0.6793,0.0028,0.0013,0.4615,0.9967,55.2751,57.9314,66.3383,26.1152,21.7834,19.3968,1.5921,1.7955,0.3093,7.2805,8.1707,3.8845,-11476408320.0,-11623803904,-14661142528,27.6367,28.9668,33.169
2069.2051,772.6999,493.0547,0.77,614.0093,0.9812,301761,0.8024,1.5672,0.869,0.7946,0.0026,0.0017,0.6314,0.9896,104.7356,89.3631,86.8124,33.6159,29.6521,29.7512,-0.5645,0.0622,0.39,2.3775,2.5684,2.687,-34275383296.0,-24358311936,-23058806784,52.368,44.6831,43.4069
1592.699,624.2347,333.1545,0.8457,455.3524,0.9847,165383,0.745,1.8737,0.8067,0.7295,0.0038,0.002,0.5321,0.997,99.3345,99.4131,98.0964,30.6494,29.684,22.893,0.0988,0.1479,0.366,1.9809,2.0745,3.4237,-16642662400.0,-16554817536,-15414438912,49.6674,49.7081,49.0491
2275.7791,808.0833,609.2819,0.6569,697.988,0.9931,385277,0.7032,1.3263,0.9284,0.8638,0.0021,0.0016,0.7461,0.9895,90.3542,96.4854,94.4357,19.5037,14.7487,20.7736,-0.3332,0.9453,0.9929,3.6756,7.0258,5.3254,-29873577984.0,-33570080768,-33054025728,45.1768,48.2407,47.2167
2219.7009,832.1495,487.2321,0.8107,633.9865,0.9789,322493,0.644,1.7079,0.8051,0.7619,0.0026,0.0015,0.5804,0.9913,45.1776,55.1255,67.2807,21.5697,23.7948,20.8465,2.123,2.4406,0.5894,11.2662,11.3008,4.1289,-6533016576.0,-9749170176,-13604222976,22.5904,27.5652,33.643
2029.684,751.5424,476.7822,0.773,597.4232,0.9836,285002,0.7985,1.5763,0.8551,0.7949,0.0027,0.0017,0.6319,0.9961,102.3456,90.9526,87.6096,27.2401,20.6244,20.5112,-0.4186,0.2085,0.0126,2.7258,3.4636,3.516,-29705947136.0,-22351886336,-20652969984,51.1742,45.4762,43.8069
2231.875,785.7068,559.6172,0.7019,657.9418,0.9813,346471,0.7835,1.404,0.8577,0.8374,0.0023,0.0016,0.7012,0.9845,149.3025,133.9797,123.4763,29.0561,26.7523,22.9533,-0.9854,-0.0914,-0.3402,5.3136,2.3778,3.4379,-79562604544.0,-62888714240,-52180217856,74.6492,66.9886,61.7371
2549.1389,847.0374,724.6221,0.5178,782.6284,0.9911,485375,0.7535,1.1689,0.9303,0.924,0.0018,0.0015,0.8537,0.9979,95.219,95.5516,90.193,31.7362,28.6488,27.2886,0.2139,0.6463,0.7964,3.4102,4.0043,5.5224,-45607915520.0,-44870881280,-39570563072,47.6115,47.7789,45.1007
1924.509,670.0057,499.8724,0.6659,576.467,0.9813,265960,0.7962,1.3404,0.8855,0.8604,0.0026,0.0019,0.7403,0.9922,96.0935,78.9226,86.5607,28.8245,26.6896,22.673,0.1093,1.235,0.3894,2.8856,4.316,3.9635,-24630673408.0,-16425602048,-19050479616,48.0471,39.4609,43.2795
1634.188,611.652,396.3839,0.7616,462.9298,0.8996,187089,0.7235,1.5431,0.792,0.7569,0.0036,0.0024,0.5728,0.8839,137.4287,132.7355,112.0415,44.1489,38.7483,32.6756,-0.6656,-0.2513,-0.0758,2.5051,2.0314,2.0474,-35449040896.0,-32200501248,-22167502848,68.7021,66.3655,56.0165
2109.019,800.2658,485.959,0.7945,622.6302,0.9885,308022,0.74,1.6468,0.8602,0.778,0.0026,0.0016,0.6053,0.9968,95.7663,77.0931,75.2323,25.9639,24.8644,25.2381,-0.2347,0.9691,0.8161,2.8609,4.6558,4.7548,-27948740608.0,-17953349632,-17170835456,47.8833,38.5487,37.6183
1501.9449,568.3051,351.1553,0.7863,445.3397,0.9876,157724,0.7586,1.6184,0.8677,0.7836,0.0036,0.0023,0.6141,0.9938,91.9429,86.9384,93.9146,21.8202,21.7793,21.5236,0.458,1.2333,0.4307,4.4044,6.2715,4.3607,-12802355200.0,-11406902272,-13355455488,45.9735,43.4701,46.9607
1198.348,427.9125,306.0871,0.6988,361.3157,0.9871,103878,0.7234,1.398,0.8972,0.8444,0.0042,0.003,0.713,0.9967,133.1886,128.9128,121.6643,30.1732,19.8848,23.7238,-0.8456,-0.151,0.0731,3.3462,3.0034,2.4758,-18972741632.0,-17073910784,-15300801536,66.5942,64.4598,60.8364
2334.2209,789.4069,657.9015,0.5527,719.4211,0.991,410199,0.7504,1.1999,0.9375,0.9113,0.0019,0.0016,0.8305,0.9966,91.3465,97.5318,88.7654,24.0696,21.233,21.0693,0.4776,0.7938,0.5567,2.7715,4.0495,4.2157,-33472161792.0,-37665583104,-30906253312,45.6734,48.7676,44.384
1379.568,509.356,325.7892,0.7687,406.605,0.9846,131885,0.7602,1.5635,0.8574,0.7983,0.0039,0.0025,0.6372,0.9963,157.4149,161.0358,135.7596,28.2615,21.3227,27.0232,-1.1962,-0.3715,-0.0827,4.317,2.3232,2.2412,-33897039872.0,-34997358592,-24718620672,78.7111,80.5215,67.8836
2390.23,962.7033,478.9148,0.8675,676.6418,0.984,365421,0.6287,2.0102,0.7909,0.7029,0.0027,0.0013,0.494,0.993,53.978,55.8501,62.9368,20.5256,21.9922,19.9415,1.3044,2.1169,0.7425,5.6295,9.7938,4.7334,-10056380416.0,-11013440512,-13426391040,26.9897,27.9255,31.4684
1482.381,544.0471,356.7963,0.7549,438.777,0.9842,153636,0.7315,1.5248,0.8647,0.8065,0.0036,0.0024,0.6505,0.9918,83.2987,75.0434,86.3073,29.4053,27.3335,28.8205,0.4474,1.0156,0.649,2.8051,4.316,3.6684,-10835238912.0,-8688261120,-11549764608,41.65,37.5235,43.1511
2113.1379,707.908,578.8624,0.5756,612.1683,0.9402,313038,0.6573,1.2229,0.8283,0.8648,0.0024,0.002,0.7478,0.9145,133.8251,130.572,117.2044,32.3949,27.2194,26.5377,-0.4658,-0.1545,0.066,2.5868,2.5306,2.8484,-55539736576.0,-51664969728,-41116114944,66.9137,65.2877,58.6043
2647.394,940.7379,715.3638,0.6494,819.0222,0.9962,528876,0.7657,1.315,0.9446,0.8706,0.0018,0.0014,0.758,0.9968,130.9558,118.5703,103.875,29.7036,24.6216,33.9053,-0.7152,-0.1059,0.9183,3.7516,3.8611,4.7192,-93948354560.0,-74738221056,-60311207936,65.4772,59.286,51.9378
1474.135,548.472,356.6191,0.7598,441.1674,0.9832,155467,0.7432,1.538,0.884,0.8044,0.0036,0.0023,0.647,0.9951,140.0859,141.3672,112.449,33.8589,27.2044,30.1274,-1.1076,-0.8177,-0.2643,3.4693,2.9983,2.521,-31869728768.0,-31696930816,-19971598336,70.0434,70.6863,56.2308
1959.991,706.0493,491.0711,0.7185,580.9542,0.9681,273812,0.7302,1.4378,0.8671,0.8228,0.0027,0.0019,0.677,0.9734,138.3493,123.9685,113.4467,28.7231,29.7916,30.4123,-0.4188,-0.0059,0.0022,3.3946,2.528,2.955,-52817858560.0,-42239250432,-35329404928,69.1722,61.9831,56.7222
2195.156,823.1342,534.9045,0.7601,661.824,0.9897,347582,0.7637,1.5388,0.8971,0.804,0.0024,0.0016,0.6465,0.9948,125.3261,120.6369,112.7426,35.7123,33.4763,35.1014,-0.4606,-0.26,0.0348,2.5289,2.4608,2.4054,-57705418752.0,-52809707520,-46585835520,62.6649,60.3177,56.3714
1647.4351,621.3907,354.2521,0.8216,468.4867,0.9804,175830,0.6888,1.7541,0.7981,0.7539,0.0036,0.0021,0.5684,0.9971,102.4928,90.2735,105.8421,29.4885,25.7219,25.3809,-0.0485,0.4872,0.0707,2.3748,3.822,3.4777,-18598156288.0,-14025698304,-19371372544,51.2499,45.1382,52.925
1657.265,622.9678,394.7744,0.7736,495.0152,0.9902,194360,0.8084,1.578,0.8805,0.7946,0.0032,0.0021,0.6314,0.9964,78.9069,70.5369,81.1749,19.0748,17.9944,22.1252,0.0555,1.3019,0.6911,4.5543,9.5935,4.3352,-11288364032.0,-8877689856,-12270061568,39.4568,35.2681,40.5899
2439.98,834.7051,644.6805,0.6352,728.9312,0.9891,421904,0.7194,1.2948,0.8808,0.8733,0.002,0.0015,0.7626,0.9874,140.0102,134.7525,128.9624,28.5541,24.4878,25.6527,-0.9526,-0.7272,-0.4428,3.5682,3.0039,2.7177,-85181972480.0,-77491347456,-70926983168,70.0096,67.3774,64.4833
2061.635,785.1763,465.285,0.8055,603.0508,0.9875,289254,0.6949,1.6875,0.8445,0.768,0.0027,0.0016,0.5899,0.9955,102.1856,92.2826,88.0504,34.2513,31.521,29.6539,-0.0442,0.4894,0.5851,2.2405,2.3746,2.7014,-31685144576.0,-25452177408,-22856843264,51.0965,46.144,44.0274
2306.311,852.4514,502.0418,0.8082,643.7638,0.9389,346689,0.6117,1.698,0.769,0.7552,0.0026,0.0015,0.5703,0.9684,59.1452,66.3237,77.0271,28.9747,25.1277,20.4852,1.9537,1.8387,0.6516,7.9657,7.6431,4.9451,-12459809792.0,-14421492736,-18384814080,29.5736,33.1632,38.5148
2611.3301,1009.0076,539.5266,0.845,734.8348,0.9756,434696,0.6849,1.8702,0.7815,0.7283,0.0024,0.0013,0.5304,0.9919,44.5779,47.9836,58.5518,15.3231,15.673,17.7777,1.0655,1.9108,0.3534,7.3868,11.9562,3.7241,-7469869056.0,-8708638720,-13331203072,22.2905,23.9926,29.2774
2307.666,868.3939,492.134,0.8239,652.3974,0.9803,340999,0.7825,1.7645,0.7888,0.7513,0.0026,0.0015,0.5644,0.9959,52.3402,54.9537,66.3049,20.3842,20.0122,20.2404,1.2906,2.2032,0.3136,7.7618,12.1367,3.5067,-8792924160.0,-9612582912,-13889314816,26.1737,27.4799,33.1552
2263.8721,861.6223,507.2628,0.8083,660.1249,0.9805,349053,0.7618,1.6986,0.8392,0.7661,0.0025,0.0015,0.587,0.997,63.9911,64.9474,78.4979,28.8098,25.8543,23.0273,2.1235,1.7056,0.2475,9.6566,6.8923,2.7117,-14995620864.0,-14721031168,-20530765824,31.9926,32.474,39.2479
2280.7981,768.471,644.8983,0.5438,701.5361,0.9941,388827,0.7386,1.1916,0.9337,0.9129,0.002,0.0017,0.8334,0.9931,64.5517,66.2402,62.4943,22.2507,22.747,24.5834,1.622,2.5882,2.1287,12.5834,15.3725,12.8918,-15637144576.0,-16583487488,-15201653760,32.2761,33.1201,31.2472
2255.021,783.9074,580.9299,0.6714,668.4435,0.9662,363224,0.7024,1.3494,0.8672,0.8527,0.0022,0.0017,0.7271,0.9812,124.3883,115.6067,101.2984,35.38,35.007,29.297,-0.4605,-0.4117,-0.1315,2.4433,2.4852,2.7339,-57879240704.0,-49878020096,-36924170240,62.1961,57.8024,50.6495
2487.5029,908.6619,639.1868,0.7108,760.5862,0.9929,457601,0.6938,1.4216,0.9227,0.837,0.002,0.0014,0.7006,0.996,104.3559,100.5823,96.5861,27.9094,25.9868,27.4167,0.6491,1.3995,1.5046,6.4034,8.1399,8.6568,-50364612608.0,-46192451584,-42959712256,52.1762,50.29,48.2914
2400.584,823.7263,595.5487,0.6909,695.0349,0.9739,389590,0.7592,1.3831,0.8273,0.8438,0.0022,0.0016,0.7119,0.9847,132.0758,118.5984,106.4101,33.4411,32.9432,27.9228,-0.6094,-0.5146,-0.1285,2.7109,2.664,3.3028,-69997240320.0,-56083791872,-43731456000,66.0369,59.301,53.2046
2596.7581,932.0193,690.7506,0.6714,801.0491,0.9954,506325,0.7608,1.3493,0.9392,0.8595,0.0018,0.0014,0.7387,0.9967,85.6906,81.9109,83.4443,34.3585,31.7791,37.5799,1.2643,1.8008,1.542,6.3727,8.2452,6.5082,-40152121344.0,-35974262784,-39709847552,42.8441,40.9537,41.7214
2634.644,860.8875,555.6307,0.7638,689.7222,0.9715,384588,0.7382,1.5494,0.6764,0.8012,0.0023,0.0015,0.6419,0.9945,76.3946,64.0785,62.7322,19.044,21.4049,21.2795,0.1017,1.2229,1.0836,3.6601,6.9302,6.8205,-20488452096.0,-14733557760,-14105267200,38.1975,32.0405,31.3667
2529.947,908.9462,572.9896,0.7763,718.1671,0.9643,420062,0.6678,1.5863,0.7953,0.7901,0.0022,0.0014,0.6243,0.9903,43.4994,50.4965,54.8695,19.3277,20.3956,18.5708,1.8275,2.2146,0.8452,9.487,10.8294,4.9576,-7431533056.0,-9997530112,-11323259904,21.7508,25.2506,27.4358
1499.804,576.5701,335.9818,0.8127,439.3382,0.989,153288,0.7504,1.7161,0.8469,0.762,0.0038,0.0022,0.5806,0.9964,92.1805,81.3582,86.5462,19.9001,15.9618,20.6301,-0.7349,1.4089,0.4577,4.1889,12.0608,5.1296,-12369060864.0,-9288654848,-10901436416,46.0882,40.6796,43.2733
2364.0029,796.3392,601.9151,0.6547,687.4043,0.9839,377202,0.708,1.323,0.8345,0.8632,0.0021,0.0016,0.7451,0.9858,127.236,116.1911,107.2028,23.0925,21.3555,29.3967,-0.4153,0.0753,-0.0491,3.4262,3.8593,2.9947,-60728459264.0,-49765376000,-43822366720,63.6189,58.0955,53.6022
1759.136,628.9557,442.0542,0.7113,526.2241,0.9899,219701,0.7659,1.4228,0.8832,0.8367,0.0029,0.002,0.7,0.996,128.3266,120.4128,110.2402,42.3855,44.9955,31.7554,-0.2009,-0.1454,-0.1783,1.7082,1.6272,2.2624,-39708590080.0,-35721072640,-27564607488,64.1599,60.2045,55.1166
1700.896,671.8093,404.6781,0.7982,453.6056,0.8374,192973,0.652,1.6601,0.7019,0.6752,0.0042,0.0025,0.4559,0.7568,148.9074,147.1729,137.4059,37.0944,31.8117,27.4108,-1.0276,-0.6671,-0.6725,3.3008,2.4911,2.6335,-38700425216.0,-37047771136,-31587252224,74.4565,73.5871,68.7043
2332.8379,832.4753,623.8899,0.6621,717.3422,0.9956,405941,0.8259,1.3343,0.9332,0.8617,0.0021,0.0015,0.7425,0.9908,82.2014,92.1539,90.8724,29.2877,23.6099,25.2213,-0.1179,0.3672,0.0371,3.1249,4.0719,3.3738,-28144771072.0,-33769678848,-33180903424,41.0994,46.0735,45.4337
2435.3889,857.8929,663.8074,0.6335,752.968,0.994,448000,0.7515,1.2924,0.9434,0.8777,0.0019,0.0015,0.7703,0.9956,89.7273,84.0387,75.777,25.6111,21.9763,30.3831,0.2158,1.5521,1.7662,4.8948,10.0825,8.1471,-35740303360.0,-30464757760,-27059025920,44.8647,42.0194,37.8889
2318.344,805.4811,652.9468,0.5856,724.0186,0.9965,413165,0.7867,1.2336,0.9626,0.8989,0.002,0.0016,0.808,0.9967,74.157,73.4343,72.6707,22.2553,23.6311,27.8553,1.9444,2.4694,1.867,14.6318,13.6942,10.2999,-21918187520.0,-21830563840,-22435819520,37.0776,36.7169,36.3352
2337.731,826.503,635.2358,0.6398,723.6536,0.994,413795,0.7242,1.3011,0.9457,0.8756,0.002,0.0015,0.7666,0.9974,82.7696,87.4077,95.5518,27.0027,24.8453,27.4159,0.2557,1.0565,0.3852,5.0279,7.444,5.3998,-28428578816.0,-31159521280,-37994721280,41.3841,43.7034,47.7762
2416.0901,881.6053,607.8824,0.7243,730.342,0.9932,421799,0.7737,1.4503,0.9018,0.8284,0.0021,0.0015,0.6863,0.9953,125.9345,116.4602,113.6015,31.3693,29.3568,32.1796,-0.2998,-0.2971,-0.2025,2.4601,2.6024,2.3202,-69449621504.0,-58553470976,-56549670912,62.9675,58.2315,56.802
1855.1949,670.8918,463.4907,0.723,556.2635,0.9878,246026,0.7304,1.4475,0.8873,0.8291,0.0028,0.0019,0.6875,0.9951,102.3167,93.6701,88.4323,39.2076,37.4973,34.9329,-0.0161,0.3164,0.1352,2.1633,2.1835,2.1143,-28104945664.0,-23498287104,-20579418112,51.1601,46.8393,44.2196
1191.2061,429.3986,303.5874,0.7072,360.6615,0.9877,103431,0.73,1.4144,0.9047,0.8399,0.0042,0.003,0.7055,0.9978,115.489,108.6169,108.5555,33.5112,26.8291,31.1429,-0.5815,-0.0611,-0.0131,2.6304,2.5456,2.2119,-14358069248.0,-12207517696,-12508828672,57.7605,54.3177,54.2919
